id,PDF_url,title,authors,dateline,abstract
1708.03113,https://arxiv.org/pdf/1708.03113,"
Spin Hall effect of gravitational waves",Naoki Yamamoto,(Submitted on 10 Aug 2017 (," Gravitons possess a Berry curvature due to their helicity. We derive the
semiclassical equations of motion for gravitons taking into account the Berry
curvature. We show that this quantum correction leads to the splitting of the
trajectories of right- and left-handed gravitational waves in curved space, and
that this correction can be understood as a topological phenomenon. This is the
spin Hall effect (SHE) of gravitational waves. We find that the SHE of
gravitational waves is twice as large as that of light. Possible future
observations of the SHE of gravitational waves can potentially test the quantum
nature of gravitons beyond the classical general relativity.
"
1809.09554,https://arxiv.org/pdf/1809.09554,"
Is the Copenhagen interpretation inapplicable to Quantum Cosmology?",T. P. Shestakova,(Submitted on 25 Sep 2018)," It is generally accepted that the Copenhagen interpretation is inapplicable
to quantum cosmology, by contrast with the many worlds interpretation. I shall
demonstrate that the two basic principles of the Copenhagen interpretation, the
principle of integrity and the principle of complementarity, do make sense in
quantum gravity, since we can judge about quantum gravitational processes in
the very early Universe by their vestiges in our macroscopic Universe. I shall
present the extended phase space approach to quantum gravity and show that it
can be interpreted in the spirit of the Everett's `relative states'
formulation, while there is no contradiction between the `relative states'
formulation and the mentioned basic principles of the Copenhagen
interpretation.
"
1809.09248,https://arxiv.org/pdf/1809.09248,"
Hamiltonian analysis of a topological theory in the presence of  boundaries","Alejandro Corichi,Tatjana Vukašinac",(Submitted on 24 Sep 2018)," We perform the canonical Hamiltonian analysis of a topological gauge theory,
that can be seen both as a theory defined on a four dimensional spacetime
region with boundaries --the bulk theory--, or as a theory defined on the
boundary of the region --the boundary theory--. In our case the bulk theory is
given by the 4-dimensional $U(1)$ Pontryagin action and the boundary one is
defined by the $U(1)$ Chern-Simons action. We analyse the conditions that need
to be imposed on the bulk theory so that the total Hamiltonian, smeared
constraints and generators of gauge transformations be well defined
(differentiable) for generic boundary conditions. We pay special attention to
the interplay between the constraints and boundary conditions in the bulk
theory on the one side, and the constraints in the boundary theory, on the
other side. We illustrate how both theories are equivalent, despite the
different canonical variables and constraint structure, by explicitly showing
that they both have the same symmetries, degrees of freedom and observables.
"
1809.09174,https://arxiv.org/pdf/1809.09174,"
Weyl symmetry and its spontaneous breaking in Standard Model and  inflation","D. M. Ghilencea,Hyun Min Lee",(Submitted on 24 Sep 2018)," We discuss the Weyl gauge symmetry and its spontaneous breaking and apply it
to model building beyond Standard Model (SM) and inflation. In models
containing non-minimal couplings of the scalar fields to the Ricci scalar, that
are conformal invariant, the spontaneous generation by a scalar field(s) vev
(or combination thereof) of a positive Newton constant demands a negative
kinetic term for the scalar field, or vice-versa. This is naturally avoided in
models with additional Weyl gauge symmetry. The Weyl gauge field $\omega_\mu$,
shown to couple only to the scalar sector of a SM-like Lagrangian, undergoes a
Stueckelberg mechanism and becomes massive after ""eating"" the (radial mode)
would-be-Goldstone field (dilaton $\rho$) in the scalar sector. Before the
decoupling of $\omega_\mu$, the dilaton can act as UV regulator and maintain
the Weyl symmetry at the quantum level, with relevance for solving the
hierarchy problem. After the decoupling of $\omega_\mu$, the scalar potential
depends only on the remaining (angular variables) scalar fields. A successful
hilltop inflation is then possible with one of these scalar fields identified
as the inflaton. While our approach is formulated in Riemannian geometry, the
natural framework is that of Weyl geometry which is shown to lead to a similar
Lagrangian, up to a total derivative.
"
1809.09259,https://arxiv.org/pdf/1809.09259,"
On spacetime foliations and electromagnetic knots","W. Costa e Silva,E. Goulart,J. E. Ottoni",(Submitted on 24 Sep 2018)," The present paper has a number of distinct purposes. First is to give a
description of a class of electromagnetic knots from the perspective of
foliation theory. Knotted solutions are then interpreted in terms of two
codimension-2 foliations whose knotted leaves intersect orthogonally everywhere
in spacetime. Secondly, we show how the foliations give rise to field lines and
how the topological invariants emerge. The machinery used here emphasizes
intrinsic properties of the leaves instead of observer dependent quantities -
such as a time function, a local rest frame or a Cauchy hypersurface. Finally,
we discuss the celebrated Hopf-Ra\~nada solution in details and stress how the
foliation approach may help in future developments of the theory of
electromagnetic knots. We conclude with several possible applications,
extensions and generalizations.
"
1809.09473,https://arxiv.org/pdf/1809.09473,"
Gravitational wave detection from OJ 287 via a pulsar timing array","Jie-Wen Chen,Yang Zhang",(Submitted on 25 Sep 2018)," Blazar OJ 287 is a candidate nanoHertz (nHz) gravitational wave (GW) source.
In this article, we investigate the GWs generated by OJ 287 and their potential
detection through a pulsar timing array (PTA). First, we obtain the orbit and
the corresponding GW strain of OJ 287. During the time span of the next 10
years (2019 to 2029), the GW of OJ 287 will be active before 2021, with a peak
strain amplitude $8 \times 10^{-16}$, and then decay after that. When OJ 287 is
silent in the GW channel during 2021 to 2029, the timing residual signals of
the PTA will be dominated by the 'pulsar term' of the GW strain and this
provides an opportunity to observe this pulsar term. Furthermore, we choose 26
pulsars with white noise below 300 ns to detect the GW signal of OJ 287,
evaluating their timing residuals and signal-to-noise ratios (SNRs). The total
SNR (with a cadence of 2 weeks in the next 10 years) of the PTA ranges from 1.9
to 2.9, corresponding to a weak GW signal for the current sensitivity level.
Subsequently, we investigate the potential measurement of the parameters of OJ
287 using these pulsars. In particular, PSR J0437-4715, with a precisely
measured distance, has the potential to constrain the polarization angle with
an uncertainty below $8^{\deg}$ and this pulsar will play an important role in
future PTA observations.
"
1809.09430,https://arxiv.org/pdf/1809.09430,"
Consistent derivation of the Hawking effect for both non-extremal and  extremal Kerr black holes","Subhajit Barman,Golam Mortuza Hossain",(Submitted on 25 Sep 2018)," It is believed that extremal black holes do not emit Hawking radiation as
understood by taking extremal limits of non-extremal black holes. However, it
is debated whether one can make such conclusion reliably starting from an
extremal black hole, as the associated Bogoliubov coefficients which relate
ingoing and outgoing field modes do not satisfy the required consistency
condition. We address this issue in a canonical approach firstly by presenting
an exact canonical derivation of the Hawking effect for non-extremal Kerr black
holes. Subsequently, for extremal Kerr black holes we show that the required
consistency condition is satisfied in the canonical derivation and it produces
zero number density for Hawking particles. We also point out the reason behind
the reported failure of Bogoliubov coefficients to satisfy the required
condition.
"
1809.09374,https://arxiv.org/pdf/1809.09374,"
Propagators of the Dirac fermions on spatially flat FLRW spacetimes",Ion I. Cotaescu,(Submitted on 25 Sep 2018)," We consider the theory of the free Dirac fermions on spatially flat
$(1+3)$-dimensional Friedmann-Lema\^ itre-Robertson-Walker (FLRW) spacetimes,
developing a general formalism independent on the concrete form of the Dirac
spinors in particular geometries. The general form of the fundamental spinors
satisfying the charge conjugation an normalization conditions is used for
deriving the structure of the anti-commutator matrix-functions and,
implicitely, of the retarded, advanced, and Feynman fermion propagators. The
principal result is that the new type of integral representation we proposed
recently in the de Sitter case can be applied to the Dirac fermions in any
spatially flat FLRW geometry. Moreover, for the left-handed massless fermions
we solve completely the Dirac equation finding a general spinor solution and
deriving the propagators. We show that in the Minkowski flat spacetime our new
integral representation is up to a change of variable just the usual Fourier
representation of the fermion propagators. The form of the Feynman propagator
of the massive fermions in Milne's universe is also outlined.
"
1809.09274,https://arxiv.org/pdf/1809.09274,"
Stealth's cosmologies","Abigail Alvarez,Cuauhtemoc Campuzano,Víctor Cárdenas,Efraín Rojas",(Submitted on 25 Sep 2018)," We present a novel approach to construct cosmological models endowed with a
particular scalar field, the stealth. The model is constructed by studying a
scalar field no-minimally coupled to the gravitational field with sources; as
sources, we used a perfect fluid and analyzed the simplest case of dust and the
power-law cosmology. Surprisingly, we find that these stealth fields, which
have no back-reaction to background space-time, have a contribution to
cosmological dynamics. Furthermore, we provide analytic expressions of the
stealth's contributions to the energy density in both cases, and for the
pressure in the power-low cosmology, which means that such contributions to
cosmological evolution are quantifiable. Additionally, we discuss the behaviors
of the self-interaction potential for some cases.
"
1809.09390,https://arxiv.org/pdf/1809.09390,"
$H_0$ Tension and the Phantom Regime: A Case Study In Terms of $f(T)$  Gravity","Amr El-Zant,W. El Hanafy,Sherif Elgammal",(Submitted on 25 Sep 2018)," We propose an $f(T)$ teleparallel gravity theory including a torsional
infrared (IR) correction. We show that the governing Friedmann's equations of a
spatially flat universe include a phantom-like effective dark energy term
sourced by the torsion IR correction. As has been suggested, this phantom phase
does indeed act as to reconcile the tension between local and global
measurements of the current Hubble value $H_0$. The resulting cosmological
model predicts an electron scattering optical depth $\tau_e\thickapprox 0.058$
at reionization redshift $z_{re} \sim 8.1$, in agreement with observations. The
predictions are however in contradiction with baryon acoustic oscillations
(BAO) measurements, particularly the distance indicators. We argue that this is
the case with any model with a phantom dark energy model that has effects
significant enough at redshifts $z \lesssim 2$ as to be currently observable.
The reason being that such a scenario introduces systematic differences in
terms of distance estimates in relation to the standard model; e.g., if the
angular diameter distance to the recombination era is to be kept constant while
$H_0$ is increased in the context of a phantom scenario, the distances there
are systematically overestimated to all objects at redshifts smaller than
recombination. But no such discrepancies exist between $\Lambda$CDM predictions
and current data for $z \lesssim 2$.
"
1809.09169,https://arxiv.org/pdf/1809.09169,"
A new class of inflationary models, that generalizes the constant roll  constraint","B. Boisseau,H. Giacomini",(Submitted on 24 Sep 2018)," Recently a class of inflationary models satisfying the constant rate of roll
constraint, $\ddot{\phi}+(3+\alpha)H\dot{\phi}=0$, has been studied and
compared with the latest cosmological observational data. We consider the
broader class of constraints $
\ddot{\phi}+\frac{\alpha_1}{2}\dot{\phi}+\alpha_2 H\dot{\phi}=0$ and find an
exact solution, which is an attractor of the dynamics governed by a positive
periodic potential $V(\phi)=E+ F \cos (\Omega \phi )+G \cos (2 \Omega \phi )$.
The spectral index $n_s$ and the tensor to scalar ratio $r$ are consistent with
the recent observational data. If we ignore reheating and creation of matter
after the end of inflation, this solution develops a period of deceleration and
a second period of acceleration, consistent with the experimental results. This
model has no initial singularity.
"
1809.09183,https://arxiv.org/pdf/1809.09183,"
Report on session QG3 of the 15th Marcel Grossmann Meeting","Jorge Pullin,Parampreet Singh",(Submitted on 24 Sep 2018)," We summarize the talks presented at the QG3 session (loop quantum gravity:
cosmology and black holes) of the 15th Marcel Grossmann Meeting held in Rome,
Italy on July 1-7 2018.
"
1809.09133,https://arxiv.org/pdf/1809.09133,"
The interacting multiverse and its effect on the cosmic microwave  background","Mariam Bouhmadi-López,Manuel Kraemer,João Morais,Salvador Robles-Pérez",(Submitted on 24 Sep 2018)," We study a toy model of a multiverse consisting of canonically quantized
universes that interact with each other on a quantum level based on a
field-theoretical formulation of the Wheeler-DeWitt equation. This interaction
leads to the appearance of a pre-inflationary phase in the evolution of the
individual universes. We analyze scalar perturbations within the model and
calculate the influence of the pre-inflationary phase onto the power spectrum
of these perturbations. The result is that there is a suppression of power on
large scales, which can describe well the Planck 2018 data for the cosmic
microwave background anisotropies and could thus indicate a possible solution
to the observed quadrupole discrepancy.
"
